location_name,restriction_type,closure_start,closure_end
Palestine,Institutional,2020-03-22,2020-05-29
Palestine,Gathering,2020-03-22,2020-05-29
Palestine,Essential Business,2020-03-22,2020-05-29
Panama,Travel,2020-03-13,2020-06-01
Panama,Lockdown,2020-03-13,2020-06-01
Panama,Institutional,2020-03-13,2020-06-01
Panama,Gathering,2020-03-13,2020-06-01
Panama,Essential Business,2020-03-13,2020-06-01
Paraguay,Lockdown,,
Paraguay,Institutional,,
Paraguay,Gathering,,
Paraguay,Essential Business,,
Paraná,Institutional,,
Paraná,Gathering,,
Paraná,Essential Business,,
Paraíba,Institutional,,
Paraíba,Gathering,,
Paraíba,Essential Business,,
Pará,Travel,2020-04-06,
Pará,Institutional,2020-04-06,
Pará,Gathering,2020-04-06,
Pará,Essential Business,2020-04-06,
Pennsylvania,Lockdown,,
Pennsylvania,Institutional,,
Pennsylvania,Gathering,,
Pennsylvania,Essential Business,,
Pennsylvania,Non-Essential Business,,
Pernambuco,Institutional,,
Pernambuco,Essential Business,,
Peru,Lockdown,,
Peru,Institutional,,
Peru,Gathering,,
Peru,Essential Business,,
Philippines,Institutional,,
Piaui,Institutional,,
Piaui,Gathering,,
Piaui,Essential Business,,
Piemonte,Travel,2020-03-22,2020-05-04
Piemonte,Lockdown,2020-03-22,2020-05-04
Piemonte,Institutional,2020-03-22,2020-05-04
Piemonte,Gathering,2020-03-22,2020-05-04
Piemonte,Essential Business,2020-03-22,2020-05-04
Piemonte,Non-Essential Business,2020-03-22,2020-05-04
Poland,Lockdown,,
Poland,Institutional,,
Poland,Gathering,,
Poland,Essential Business,,
Portugal,Travel,2020-04-09,2020-05-02
Portugal,Lockdown,2020-04-09,2020-05-02
Portugal,Institutional,2020-04-09,2020-05-02
Portugal,Gathering,2020-04-09,2020-05-02
Portugal,Essential Business,2020-04-09,2020-05-02
Provincia autonoma di Bolzano,Travel,2020-03-22,2020-05-04
Provincia autonoma di Bolzano,Lockdown,2020-03-22,2020-05-04
Provincia autonoma di Bolzano,Institutional,2020-03-22,2020-05-04
Provincia autonoma di Bolzano,Gathering,2020-03-22,2020-05-04
Provincia autonoma di Bolzano,Essential Business,2020-03-22,2020-05-04
Provincia autonoma di Bolzano,Non-Essential Business,2020-03-22,2020-05-04
Provincia autonoma di Trento,Travel,2020-03-22,2020-05-04
Provincia autonoma di Trento,Lockdown,2020-03-22,2020-05-04
Provincia autonoma di Trento,Institutional,2020-03-22,2020-05-04
Provincia autonoma di Trento,Gathering,2020-03-22,2020-05-04
Provincia autonoma di Trento,Essential Business,2020-03-22,2020-05-04
Provincia autonoma di Trento,Non-Essential Business,2020-03-22,2020-05-04
Puebla,Lockdown,,
Puebla,Institutional,,
Puebla,Gathering,,
Puebla,Essential Business,,
Puerto Rico,Lockdown,,
Puerto Rico,Institutional,,
Puerto Rico,Gathering,,
Puerto Rico,Essential Business,,
Puerto Rico,Non-Essential Business,,
Puglia,Travel,2020-03-22,2020-05-04
Puglia,Lockdown,2020-03-22,2020-05-04
Puglia,Institutional,2020-03-22,2020-05-04
Puglia,Gathering,2020-03-22,2020-05-04
Puglia,Essential Business,2020-03-22,2020-05-04
Puglia,Non-Essential Business,2020-03-22,2020-05-04
Punjab,Travel,2020-03-23,2020-05-20
Punjab,Lockdown,2020-03-23,2020-05-20
Punjab,Institutional,2020-03-23,2020-05-20
Punjab,Gathering,2020-03-23,2020-05-20
Punjab,Essential Business,2020-03-23,2020-05-20
Punjab,Lockdown,,
Punjab,Institutional,,
Punjab,Gathering,,
Punjab,Essential Business,,
Qatar,Institutional,,
Qatar,Gathering,,
Qatar,Essential Business,,
Quebec,Institutional,,
Quebec,Gathering,,
Quebec,Essential Business,,
Querétaro,Lockdown,,
Querétaro,Institutional,,
Querétaro,Gathering,,
Querétaro,Essential Business,,
Quintana Roo,Lockdown,,
Quintana Roo,Institutional,,
Quintana Roo,Gathering,,
Quintana Roo,Essential Business,,
Rajasthan,Travel,2020-03-22,2020-05-25
Rajasthan,Lockdown,2020-03-22,2020-05-25
Rajasthan,Institutional,2020-03-22,2020-05-25
Rajasthan,Gathering,2020-03-22,2020-05-25
Rajasthan,Essential Business,2020-03-22,2020-05-25
Republic of Korea,Institutional,,
Republic of Korea,Essential Business,,
Republic of Moldova,Lockdown,,
Republic of Moldova,Institutional,,
Republic of Moldova,Gathering,,
Republic of Moldova,Essential Business,,
Rhineland-Palatinate,Lockdown,,
Rhineland-Palatinate,Institutional,,
Rhineland-Palatinate,Gathering,,
Rhineland-Palatinate,Essential Business,,
Rhode Island,Lockdown,,
Rhode Island,Institutional,,
Rhode Island,Gathering,,
Rhode Island,Essential Business,,
Rio Grande do Norte,Travel,2020-06-04,
Rio Grande do Norte,Institutional,2020-06-04,
Rio Grande do Norte,Gathering,2020-06-04,
Rio Grande do Norte,Essential Business,2020-06-04,
Rio Grande do Sul,Institutional,,
Rio Grande do Sul,Gathering,,
Rio Grande do Sul,Essential Business,,
Rio de Janeiro,Lockdown,,
Rio de Janeiro,Institutional,,
Rio de Janeiro,Gathering,,
Rio de Janeiro,Essential Business,,
Romania,Lockdown,,
Romania,Institutional,,
Romania,Gathering,,
Romania,Essential Business,,
Rondônia,Institutional,,
Rondônia,Gathering,,
Rondônia,Essential Business,,
Roraima,Institutional,,
Roraima,Gathering,,
Roraima,Essential Business,,
Russian Federation,Institutional,,
Russian Federation,Essential Business,,
Rwanda,Travel,2020-03-21,
Rwanda,Lockdown,2020-03-21,
Rwanda,Institutional,2020-03-21,
Rwanda,Gathering,2020-03-21,
Rwanda,Essential Business,2020-03-21,
Saarland,Lockdown,,
Saarland,Institutional,,
Saarland,Gathering,,
Saarland,Essential Business,,
San Luis Potosí,Lockdown,,
San Luis Potosí,Institutional,,
San Luis Potosí,Gathering,,
San Luis Potosí,Essential Business,,
San Marino,Institutional,,
San Marino,Gathering,,
San Marino,Essential Business,,
Santa Catarina,Institutional,,
Santa Catarina,Gathering,,
Santa Catarina,Essential Business,,
Sao Tome and Principe,Institutional,,
Sao Tome and Principe,Gathering,,
Sao Tome and Principe,Essential Business,,
Sardegna,Travel,2020-03-22,2020-05-04
Sardegna,Lockdown,2020-03-22,2020-05-04
Sardegna,Institutional,2020-03-22,2020-05-04
Sardegna,Gathering,2020-03-22,2020-05-04
Sardegna,Essential Business,2020-03-22,2020-05-04
Sardegna,Non-Essential Business,2020-03-22,2020-05-04
Saskatchewan,Institutional,,
Saskatchewan,Gathering,,
Saskatchewan,Essential Business,,
Saudi Arabia,Travel,2020-03-26,2020-05-31
Saudi Arabia,Lockdown,2020-03-26,2020-05-31
Saudi Arabia,Institutional,2020-03-26,2020-05-31
Saudi Arabia,Gathering,2020-03-26,2020-05-31
Saudi Arabia,Essential Business,2020-03-26,2020-05-31
Saxony,Lockdown,,
Saxony,Institutional,,
Saxony,Gathering,,
Saxony,Essential Business,,
Saxony-Anhalt,Lockdown,,
Saxony-Anhalt,Institutional,,
Saxony-Anhalt,Gathering,,
Saxony-Anhalt,Essential Business,,
Schleswig-Holstein,Lockdown,,
Schleswig-Holstein,Institutional,,
Schleswig-Holstein,Gathering,,
Schleswig-Holstein,Essential Business,,
Scotland,Lockdown,,
Scotland,Institutional,,
Scotland,Gathering,,
Scotland,Essential Business,,
Senegal,Institutional,,
Senegal,Gathering,,
Serbia,Travel,2020-03-21,2020-04-23
Serbia,Lockdown,2020-03-21,2020-04-23
Serbia,Institutional,2020-03-21,2020-04-23
Serbia,Gathering,2020-03-21,2020-04-23
Serbia,Essential Business,2020-03-21,2020-04-23
Sergipe,Institutional,,
Sergipe,Gathering,,
Sergipe,Essential Business,,
Shandong,Travel,2020-02-04,2020-02-18
Shandong,Lockdown,2020-02-04,2020-02-18
Shandong,Institutional,2020-02-04,2020-02-18
Shandong,Gathering,2020-02-04,2020-02-18
Shandong,Essential Business,2020-02-04,2020-02-18
Shandong,Non-Essential Business,2020-02-04,2020-02-18
Shanghai,Travel,2020-02-10,2020-03-24
Shanghai,Lockdown,2020-02-10,2020-03-24
Shanghai,Institutional,2020-02-10,2020-03-24
Shanghai,Gathering,2020-02-10,2020-03-24
Shanghai,Essential Business,2020-02-10,2020-03-24
Shanghai,Non-Essential Business,2020-02-10,2020-03-24
Sicilia,Travel,2020-03-22,2020-05-04
Sicilia,Lockdown,2020-03-22,2020-05-04
Sicilia,Institutional,2020-03-22,2020-05-04
Sicilia,Gathering,2020-03-22,2020-05-04
Sicilia,Essential Business,2020-03-22,2020-05-04
Sicilia,Non-Essential Business,2020-03-22,2020-05-04
Sierra Leone,Lockdown,,
Sierra Leone,Institutional,,
Sierra Leone,Gathering,,
Sierra Leone,Essential Business,,
Sinaloa,Institutional,,
Sinaloa,Gathering,,
Sinaloa,Essential Business,,
Sindh,Lockdown,,
Sindh,Institutional,,
Sindh,Gathering,,
Sindh,Essential Business,,
Singapore,Lockdown,,
Singapore,Institutional,,
Singapore,Gathering,,
Singapore,Essential Business,,
Slovakia,Travel,2020-04-08,2020-04-14
Slovakia,Institutional,2020-04-08,2020-04-14
Slovakia,Gathering,2020-04-08,2020-04-14
Slovakia,Essential Business,2020-04-08,2020-04-14
Slovakia,Non-Essential Business,2020-04-08,2020-04-14
Slovenia,Travel,2020-03-16,2020-04-30
Slovenia,Institutional,2020-03-16,2020-04-30
Slovenia,Gathering,2020-03-16,2020-04-30
Slovenia,Essential Business,2020-03-16,2020-04-30
Somalia,Institutional,,
Somalia,Gathering,,
Sonora,Lockdown,,
Sonora,Institutional,,
Sonora,Gathering,,
Sonora,Essential Business,,
South Africa,Travel,2020-03-27,
South Africa,Lockdown,2020-03-27,
South Africa,Institutional,2020-03-27,
South Africa,Gathering,2020-03-27,
South Africa,Essential Business,2020-03-27,
South Carolina,Lockdown,,
South Carolina,Institutional,,
South Carolina,Gathering,,
South Carolina,Essential Business,,
South Dakota,Institutional,,
South Dakota,Gathering,,
South Sudan,Travel,2020-04-12,
South Sudan,Lockdown,2020-04-12,
South Sudan,Institutional,2020-04-12,
South Sudan,Gathering,2020-04-12,
South Sudan,Essential Business,2020-04-12,
Sri Lanka,Travel,2020-03-24,2020-04-27
Sri Lanka,Institutional,2020-03-24,2020-04-27
Sri Lanka,Gathering,2020-03-24,2020-04-27
Sri Lanka,Essential Business,2020-03-24,2020-04-27
Sudan,Travel,2020-04-12,
Sudan,Lockdown,2020-04-12,
Sudan,Institutional,2020-04-12,
Sudan,Gathering,2020-04-12,
Suriname,Lockdown,,
Suriname,Institutional,,
Suriname,Gathering,,
Suriname,Essential Business,,
Sweden,Gathering,,
Switzerland,Institutional,,
Switzerland,Gathering,,
Switzerland,Essential Business,,
Syrian Arab Republic,Travel,2020-03-23,2020-05-10
Syrian Arab Republic,Institutional,2020-03-23,2020-05-10
Syrian Arab Republic,Gathering,2020-03-23,2020-05-10
Syrian Arab Republic,Essential Business,2020-03-23,2020-05-10
São Paulo,Institutional,,
São Paulo,Gathering,,
São Paulo,Essential Business,,
Tabasco,Institutional,,
Tabasco,Gathering,,
Tabasco,Essential Business,,
Taiwan (Province of China),Institutional,,
Tajikistan,Institutional,,
Tajikistan,Gathering,,
Tamaulipas,Lockdown,,
Tamaulipas,Institutional,,
Tamaulipas,Gathering,,
Tamaulipas,Essential Business,,
Tamil Nadu,Travel,2020-03-24,2020-04-29
Tamil Nadu,Lockdown,2020-03-24,2020-04-29
Tamil Nadu,Institutional,2020-03-24,2020-04-29
Tamil Nadu,Gathering,2020-03-24,2020-04-29
Tamil Nadu,Essential Business,2020-03-24,2020-04-29
Telangana,Travel,2020-03-22,2020-05-19
Telangana,Lockdown,2020-03-22,2020-05-19
Telangana,Institutional,2020-03-22,2020-05-19
Telangana,Gathering,2020-03-22,2020-05-19
Telangana,Essential Business,2020-03-22,2020-05-19
Tennessee,Lockdown,,
Tennessee,Institutional,,
Tennessee,Gathering,,
Tennessee,Essential Business,,
Texas,Lockdown,,
Texas,Institutional,,
Texas,Gathering,,
Texas,Essential Business,,
Thailand,Institutional,,
Thuringia,Lockdown,,
Thuringia,Institutional,,
Thuringia,Gathering,,
Thuringia,Essential Business,,
Tlaxcala,Institutional,,
Tlaxcala,Gathering,,
Tlaxcala,Essential Business,,
Tocantins,Institutional,,
Tocantins,Gathering,,
Tocantins,Essential Business,,
Togo,Institutional,,
Togo,Gathering,,
Togo,Essential Business,,
Toscana,Travel,2020-03-22,2020-05-04
Toscana,Lockdown,2020-03-22,2020-05-04
Toscana,Institutional,2020-03-22,2020-05-04
Toscana,Gathering,2020-03-22,2020-05-04
Toscana,Essential Business,2020-03-22,2020-05-04
Toscana,Non-Essential Business,2020-03-22,2020-05-04
Trinidad and Tobago,Lockdown,,
Trinidad and Tobago,Institutional,,
Trinidad and Tobago,Gathering,,
Trinidad and Tobago,Essential Business,,
Tripura,Travel,2020-03-24,2020-05-18
Tripura,Lockdown,2020-03-24,2020-05-18
Tripura,Institutional,2020-03-24,2020-05-18
Tripura,Gathering,2020-03-24,2020-05-18
Tripura,Essential Business,2020-03-24,2020-05-18
Tunisia,Lockdown,,
Tunisia,Institutional,,
Tunisia,Gathering,,
Tunisia,Essential Business,,
Tunisia,Non-Essential Business,,
Turkey,Institutional,,
Turkey,Gathering,,
Turkey,Essential Business,,
Uganda,Travel,2020-03-30,2020-05-26
Uganda,Lockdown,2020-03-30,2020-05-26
Uganda,Institutional,2020-03-30,2020-05-26
Uganda,Gathering,2020-03-30,2020-05-26
Uganda,Essential Business,2020-03-30,2020-05-26
Ukraine,Lockdown,,
Ukraine,Institutional,,
Ukraine,Gathering,,
Ukraine,Essential Business,,
Umbria,Travel,2020-03-22,2020-05-04
Umbria,Lockdown,2020-03-22,2020-05-04
Umbria,Institutional,2020-03-22,2020-05-04
Umbria,Gathering,2020-03-22,2020-05-04
Umbria,Essential Business,2020-03-22,2020-05-04
Umbria,Non-Essential Business,2020-03-22,2020-05-04
United Arab Emirates,Lockdown,,
United Arab Emirates,Institutional,,
United Arab Emirates,Gathering,,
United Arab Emirates,Essential Business,,
United Kingdom,Lockdown,,
United Kingdom,Institutional,,
United Kingdom,Gathering,,
United Kingdom,Essential Business,,
United States Virgin Islands,Lockdown,,
United States Virgin Islands,Institutional,,
United States Virgin Islands,Gathering,,
United States Virgin Islands,Essential Business,,
United States Virgin Islands,Non-Essential Business,,
Uruguay,Institutional,,
Uruguay,Essential Business,,
Utah,Institutional,,
Utah,Gathering,,
Utah,Essential Business,,
Uttar Pradesh,Travel,2020-03-25,2020-05-20
Uttar Pradesh,Lockdown,2020-03-25,2020-05-20
Uttar Pradesh,Institutional,2020-03-25,2020-05-20
Uttar Pradesh,Gathering,2020-03-25,2020-05-20
Uttar Pradesh,Essential Business,2020-03-25,2020-05-20
Uttarakhand,Travel,2020-03-22,2020-05-04
Uttarakhand,Lockdown,2020-03-22,2020-05-04
Uttarakhand,Institutional,2020-03-22,2020-05-04
Uttarakhand,Gathering,2020-03-22,2020-05-04
Uttarakhand,Essential Business,2020-03-22,2020-05-04
Uzbekistan,Travel,2020-03-27,2020-05-18
Uzbekistan,Lockdown,2020-03-27,2020-05-18
Uzbekistan,Institutional,2020-03-27,2020-05-18
Uzbekistan,Gathering,2020-03-27,2020-05-18
Uzbekistan,Essential Business,2020-03-27,2020-05-18
Valencian Community,Lockdown,,
Valencian Community,Institutional,,
Valencian Community,Gathering,,
Valencian Community,Essential Business,,
Valle d'Aosta,Travel,2020-03-22,2020-05-04
Valle d'Aosta,Lockdown,2020-03-22,2020-05-04
Valle d'Aosta,Institutional,2020-03-22,2020-05-04
Valle d'Aosta,Gathering,2020-03-22,2020-05-04
Valle d'Aosta,Essential Business,2020-03-22,2020-05-04
Valle d'Aosta,Non-Essential Business,2020-03-22,2020-05-04
Veneto,Travel,2020-03-22,2020-05-04
Veneto,Lockdown,2020-03-22,2020-05-04
Veneto,Institutional,2020-03-22,2020-05-04
Veneto,Gathering,2020-03-22,2020-05-04
Veneto,Essential Business,2020-03-22,2020-05-04
Veneto,Non-Essential Business,2020-03-22,2020-05-04
Venezuela (Bolivarian Republic of),Travel,2020-03-17,
Venezuela (Bolivarian Republic of),Lockdown,2020-03-17,
Venezuela (Bolivarian Republic of),Institutional,2020-03-17,
Venezuela (Bolivarian Republic of),Gathering,2020-03-17,
Venezuela (Bolivarian Republic of),Essential Business,2020-03-17,
Veracruz de Ignacio de la Llave,Institutional,,
Veracruz de Ignacio de la Llave,Gathering,,
Veracruz de Ignacio de la Llave,Essential Business,,
Vermont,Lockdown,,
Vermont,Institutional,,
Vermont,Gathering,,
Vermont,Essential Business,,
Virginia,Lockdown,,
Virginia,Institutional,,
Virginia,Gathering,,
Virginia,Essential Business,,
Wales,Travel,2020-06-01,2020-07-06
Wales,Lockdown,2020-06-01,2020-07-06
Wales,Institutional,2020-06-01,2020-07-06
Wales,Gathering,2020-06-01,2020-07-06
Wales,Essential Business,2020-06-01,2020-07-06
Washington,Lockdown,,
Washington,Institutional,,
Washington,Gathering,,
Washington,Essential Business,,
West Bengal,Travel,2020-03-24,2020-05-05
West Bengal,Lockdown,2020-03-24,2020-05-05
West Bengal,Institutional,2020-03-24,2020-05-05
West Bengal,Gathering,2020-03-24,2020-05-05
West Bengal,Essential Business,2020-03-24,2020-05-05
West Virginia,Lockdown,,
West Virginia,Institutional,,
West Virginia,Gathering,,
West Virginia,Essential Business,,
Wisconsin,Lockdown,,
Wisconsin,Institutional,,
Wisconsin,Gathering,,
Wisconsin,Essential Business,,
Wyoming,Institutional,,
Wyoming,Gathering,,
Wyoming,Essential Business,,
Yemen,Institutional,,
Yucatán,Lockdown,,
Yucatán,Institutional,,
Yucatán,Gathering,,
Yucatán,Essential Business,,
Zacatecas,Lockdown,,
Zacatecas,Institutional,,
Zacatecas,Gathering,,
Zacatecas,Essential Business,,
Zambia,Institutional,,
Zambia,Gathering,,
Zambia,Essential Business,,
Zimbabwe,Lockdown,,
Zimbabwe,Institutional,,
Zimbabwe,Gathering,,
Zimbabwe,Essential Business,,
