cases,deaths,countriesAndTerritories,year,month,day
59,1,Guinea,2020,7,24
95,0,Guinea,2020,7,23
62,1,Guinea,2020,7,22
46,1,Guinea,2020,7,21
53,0,Guinea,2020,7,20
61,0,Guinea,2020,7,19
154,1,Guinea,2020,7,18
0,0,Guinea,2020,7,17
135,1,Guinea,2020,7,16
0,0,Guinea,2020,7,15
0,0,Guinea,2020,7,14
97,0,Guinea,2020,7,13
75,0,Guinea,2020,7,12
88,1,Guinea,2020,7,11
184,2,Guinea,2020,7,10
0,0,Guinea,2020,7,9
61,0,Guinea,2020,7,8
26,0,Guinea,2020,7,7
40,0,Guinea,2020,7,6
49,1,Guinea,2020,7,5
71,0,Guinea,2020,7,4
46,0,Guinea,2020,7,3
13,0,Guinea,2020,7,2
40,2,Guinea,2020,7,1
9,0,Guinea,2020,6,30
51,1,Guinea,2020,6,29
31,1,Guinea,2020,6,28
49,0,Guinea,2020,6,27
37,0,Guinea,2020,6,26
70,0,Guinea,2020,6,25
116,2,Guinea,2020,6,24
0,0,Guinea,2020,6,23
28,0,Guinea,2020,6,22
56,0,Guinea,2020,6,21
63,1,Guinea,2020,6,20
173,0,Guinea,2020,6,19
29,0,Guinea,2020,6,18
67,0,Guinea,2020,6,17
40,1,Guinea,2020,6,16
48,0,Guinea,2020,6,15
58,1,Guinea,2020,6,14
54,1,Guinea,2020,6,13
114,0,Guinea,2020,6,12
0,0,Guinea,2020,6,11
42,0,Guinea,2020,6,10
51,0,Guinea,2020,6,9
48,0,Guinea,2020,6,8
57,0,Guinea,2020,6,7
69,0,Guinea,2020,6,6
105,0,Guinea,2020,6,5
42,0,Guinea,2020,6,4
0,0,Guinea,2020,6,3
73,0,Guinea,2020,6,2
65,0,Guinea,2020,6,1
50,1,Guinea,2020,5,31
103,0,Guinea,2020,5,30
107,1,Guinea,2020,5,29
88,1,Guinea,2020,5,28
83,0,Guinea,2020,5,27
0,0,Guinea,2020,5,26
99,0,Guinea,2020,5,25
109,1,Guinea,2020,5,24
0,0,Guinea,2020,5,23
204,1,Guinea,2020,5,22
0,0,Guinea,2020,5,21
67,2,Guinea,2020,5,20
