cases,deaths,countriesAndTerritories,year,month,day
1122,6,Saudi_Arabia,2020,4,21
1088,5,Saudi_Arabia,2020,4,20
1132,5,Saudi_Arabia,2020,4,19
762,4,Saudi_Arabia,2020,4,18
518,4,Saudi_Arabia,2020,4,17
493,6,Saudi_Arabia,2020,4,16
435,8,Saudi_Arabia,2020,4,15
472,6,Saudi_Arabia,2020,4,14
429,7,Saudi_Arabia,2020,4,13
382,5,Saudi_Arabia,2020,4,12
364,3,Saudi_Arabia,2020,4,11
355,3,Saudi_Arabia,2020,4,10
137,0,Saudi_Arabia,2020,4,9
272,3,Saudi_Arabia,2020,4,8
138,4,Saudi_Arabia,2020,4,7
206,5,Saudi_Arabia,2020,4,6
294,8,Saudi_Arabia,2020,4,5
0,0,Saudi_Arabia,2020,4,4
165,5,Saudi_Arabia,2020,4,3
157,6,Saudi_Arabia,2020,4,2
110,2,Saudi_Arabia,2020,4,1
224,0,Saudi_Arabia,2020,3,31
26,4,Saudi_Arabia,2020,3,30
99,1,Saudi_Arabia,2020,3,29
92,0,Saudi_Arabia,2020,3,28
112,1,Saudi_Arabia,2020,3,27
133,1,Saudi_Arabia,2020,3,26
205,1,Saudi_Arabia,2020,3,25
51,0,Saudi_Arabia,2020,3,24
119,0,Saudi_Arabia,2020,3,23
118,0,Saudi_Arabia,2020,3,22
36,0,Saudi_Arabia,2020,3,21
67,0,Saudi_Arabia,2020,3,20
38,0,Saudi_Arabia,2020,3,19
0,0,Saudi_Arabia,2020,3,18
15,0,Saudi_Arabia,2020,3,17
32,0,Saudi_Arabia,2020,3,16
0,0,Saudi_Arabia,2020,3,15
24,0,Saudi_Arabia,2020,3,14
17,0,Saudi_Arabia,2020,3,13
25,0,Saudi_Arabia,2020,3,12
5,0,Saudi_Arabia,2020,3,11
4,0,Saudi_Arabia,2020,3,10
4,0,Saudi_Arabia,2020,3,9
2,0,Saudi_Arabia,2020,3,8
4,0,Saudi_Arabia,2020,3,6
1,0,Saudi_Arabia,2020,3,3
14,2,Senegal,2020,10,20
26,0,Senegal,2020,10,19
24,0,Senegal,2020,10,18
20,1,Senegal,2020,10,17
17,0,Senegal,2020,10,16
24,1,Senegal,2020,10,15
15,0,Senegal,2020,10,14
24,1,Senegal,2020,10,13
24,0,Senegal,2020,10,12
31,1,Senegal,2020,10,11
23,0,Senegal,2020,10,10
16,0,Senegal,2020,10,9
33,1,Senegal,2020,10,8
19,0,Senegal,2020,10,7
28,0,Senegal,2020,10,6
26,0,Senegal,2020,10,5
17,0,Senegal,2020,10,4
32,1,Senegal,2020,10,3
37,0,Senegal,2020,10,2
37,1,Senegal,2020,10,1
26,1,Senegal,2020,9,30
10,1,Senegal,2020,9,29
40,2,Senegal,2020,9,28
53,2,Senegal,2020,9,27
0,0,Senegal,2020,9,26
21,1,Senegal,2020,9,25
36,1,Senegal,2020,9,24
21,0,Senegal,2020,9,23
24,0,Senegal,2020,9,22
26,0,Senegal,2020,9,21
43,1,Senegal,2020,9,20
27,1,Senegal,2020,9,19
50,1,Senegal,2020,9,18
39,1,Senegal,2020,9,17
223,1,Senegal,2020,9,16
26,0,Senegal,2020,9,15
43,2,Senegal,2020,9,14
44,2,Senegal,2020,9,13
43,0,Senegal,2020,9,12
48,0,Senegal,2020,9,11
58,1,Senegal,2020,9,10
30,1,Senegal,2020,9,9
27,1,Senegal,2020,9,8
39,3,Senegal,2020,9,7
67,0,Senegal,2020,9,6
55,0,Senegal,2020,9,5
83,0,Senegal,2020,9,4
75,3,Senegal,2020,9,3
57,0,Senegal,2020,9,2
55,0,Senegal,2020,9,1
100,2,Senegal,2020,8,31
72,3,Senegal,2020,8,30
90,2,Senegal,2020,8,29
108,2,Senegal,2020,8,28
130,1,Senegal,2020,8,27
43,2,Senegal,2020,8,26
64,3,Senegal,2020,8,25
99,3,Senegal,2020,8,24
161,4,Senegal,2020,8,23
130,1,Senegal,2020,8,22
113,3,Senegal,2020,8,21
141,2,Senegal,2020,8,20
68,0,Senegal,2020,8,19
75,3,Senegal,2020,8,18
130,2,Senegal,2020,8,17
160,2,Senegal,2020,8,16
132,5,Senegal,2020,8,15
153,2,Senegal,2020,8,14
207,4,Senegal,2020,8,13
68,2,Senegal,2020,8,12
137,4,Senegal,2020,8,11
142,3,Senegal,2020,8,10
146,4,Senegal,2020,8,9
172,2,Senegal,2020,8,8
177,9,Senegal,2020,8,7
106,0,Senegal,2020,8,6
46,3,Senegal,2020,8,5
42,2,Senegal,2020,8,4
60,0,Senegal,2020,8,3
52,4,Senegal,2020,8,2
126,1,Senegal,2020,8,1
145,4,Senegal,2020,7,31
156,2,Senegal,2020,7,30
41,4,Senegal,2020,7,29
83,3,Senegal,2020,7,28
129,4,Senegal,2020,7,27
130,5,Senegal,2020,7,26
156,4,Senegal,2020,7,25
145,1,Senegal,2020,7,24
136,3,Senegal,2020,7,23
37,4,Senegal,2020,7,22
138,3,Senegal,2020,7,21
141,4,Senegal,2020,7,20
125,3,Senegal,2020,7,19
63,4,Senegal,2020,7,18
112,3,Senegal,2020,7,17
126,3,Senegal,2020,7,16
45,0,Senegal,2020,7,15
63,2,Senegal,2020,7,14
121,3,Senegal,2020,7,13
132,0,Senegal,2020,7,12
98,2,Senegal,2020,7,11
127,2,Senegal,2020,7,10
110,4,Senegal,2020,7,9
69,1,Senegal,2020,7,8
78,3,Senegal,2020,7,7
128,4,Senegal,2020,7,6
108,4,Senegal,2020,7,5
