cases,deaths,countriesAndTerritories,year,month,day
0,0,Mauritius,2020,5,6
0,0,Mauritius,2020,5,5
0,0,Mauritius,2020,5,4
0,0,Mauritius,2020,5,3
0,0,Mauritius,2020,5,2
0,0,Mauritius,2020,5,1
0,0,Mauritius,2020,4,30
0,0,Mauritius,2020,4,29
0,1,Mauritius,2020,4,28
1,0,Mauritius,2020,4,27
0,0,Mauritius,2020,4,26
0,0,Mauritius,2020,4,25
2,0,Mauritius,2020,4,24
1,0,Mauritius,2020,4,23
0,0,Mauritius,2020,4,22
0,0,Mauritius,2020,4,21
3,0,Mauritius,2020,4,20
1,0,Mauritius,2020,4,19
0,0,Mauritius,2020,4,18
0,0,Mauritius,2020,4,17
0,0,Mauritius,2020,4,16
0,0,Mauritius,2020,4,15
0,0,Mauritius,2020,4,14
5,0,Mauritius,2020,4,13
1,0,Mauritius,2020,4,12
4,2,Mauritius,2020,4,11
41,0,Mauritius,2020,4,10
5,0,Mauritius,2020,4,9
24,0,Mauritius,2020,4,8
17,0,Mauritius,2020,4,7
31,0,Mauritius,2020,4,6
10,0,Mauritius,2020,4,5
17,0,Mauritius,2020,4,4
15,2,Mauritius,2020,4,3
11,2,Mauritius,2020,4,2
15,0,Mauritius,2020,4,1
18,0,Mauritius,2020,3,31
8,1,Mauritius,2020,3,30
8,0,Mauritius,2020,3,29
13,0,Mauritius,2020,3,28
33,0,Mauritius,2020,3,27
6,0,Mauritius,2020,3,26
6,0,Mauritius,2020,3,25
8,0,Mauritius,2020,3,24
14,1,Mauritius,2020,3,23
2,1,Mauritius,2020,3,22
9,0,Mauritius,2020,3,21
3,0,Mauritius,2020,3,20
3699,171,Mexico,2020,10,20
1320,108,Mexico,2020,10,19
2800,355,Mexico,2020,10,18
380,419,Mexico,2020,10,17
1470,387,Mexico,2020,10,16
2640,478,Mexico,2020,10,15
4548,475,Mexico,2020,10,14
5326,303,Mexico,2020,10,13
1750,0,Mexico,2020,10,12
2435,135,Mexico,2020,10,11
5009,411,Mexico,2020,10,10
4936,3013,Mexico,2020,10,9
5175,369,Mexico,2020,10,8
5405,446,Mexico,2020,10,7
5247,180,Mexico,2020,10,6
1580,208,Mexico,2020,10,5
2266,388,Mexico,2020,10,4
4699,414,Mexico,2020,10,3
4955,432,Mexico,2020,10,2
5212,483,Mexico,2020,10,1
5741,560,Mexico,2020,9,30
5952,173,Mexico,2020,9,29
1701,187,Mexico,2020,9,28
2535,399,Mexico,2020,9,27
5079,405,Mexico,2020,9,26
5156,490,Mexico,2020,9,25
5495,601,Mexico,2020,9,24
5939,651,Mexico,2020,9,23
6031,204,Mexico,2020,9,22
1701,235,Mexico,2020,9,21
2658,455,Mexico,2020,9,20
5551,624,Mexico,2020,9,19
6000,201,Mexico,2020,9,18
2082,300,Mexico,2020,9,17
4098,629,Mexico,2020,9,16
5985,228,Mexico,2020,9,15
1803,217,Mexico,2020,9,14
2669,421,Mexico,2020,9,13
5308,534,Mexico,2020,9,12
5482,554,Mexico,2020,9,11
5882,611,Mexico,2020,9,10
6403,703,Mexico,2020,9,9
6188,223,Mexico,2020,9,8
1980,4,Mexico,2020,9,7
2749,703,Mexico,2020,9,6
5893,522,Mexico,2020,9,5
6148,513,Mexico,2020,9,4
6758,575,Mexico,2020,9,3
6936,827,Mexico,2020,9,2
6729,256,Mexico,2020,9,1
2124,339,Mexico,2020,8,31
3017,673,Mexico,2020,8,30
6206,552,Mexico,2020,8,29
6248,518,Mexico,2020,8,28
6854,626,Mexico,2020,8,27
6403,650,Mexico,2020,8,26
6851,320,Mexico,2020,8,25
2270,226,Mexico,2020,8,24
3028,644,Mexico,2020,8,23
6118,504,Mexico,2020,8,22
5839,625,Mexico,2020,8,21
6148,707,Mexico,2020,8,20
6561,751,Mexico,2020,8,19
6709,266,Mexico,2020,8,18
2263,214,Mexico,2020,8,17
3144,635,Mexico,2020,8,16
6049,615,Mexico,2020,8,15
6249,627,Mexico,2020,8,14
6306,737,Mexico,2020,8,13
6783,926,Mexico,2020,8,12
7086,705,Mexico,2020,8,11
2377,292,Mexico,2020,8,10
3616,695,Mexico,2020,8,9
6539,794,Mexico,2020,8,8
6617,819,Mexico,2020,8,7
7071,829,Mexico,2020,8,6
7286,857,Mexico,2020,8,5
7430,266,Mexico,2020,8,4
2474,274,Mexico,2020,8,3
3721,784,Mexico,2020,8,2
6660,688,Mexico,2020,8,1
7524,639,Mexico,2020,7,31
7617,485,Mexico,2020,7,30
8110,854,Mexico,2020,7,29
8413,342,Mexico,2020,7,28
2965,306,Mexico,2020,7,27
4113,729,Mexico,2020,7,26
7949,737,Mexico,2020,7,25
7988,718,Mexico,2020,7,24
8276,790,Mexico,2020,7,23
8610,915,Mexico,2020,7,22
