cases,deaths,countriesAndTerritories,year,month,day
4,0,Zimbabwe,2020,10,8
17,1,Zimbabwe,2020,10,7
13,0,Zimbabwe,2020,10,6
0,0,Zimbabwe,2020,10,5
27,0,Zimbabwe,2020,10,4
8,0,Zimbabwe,2020,10,3
12,0,Zimbabwe,2020,10,2
1,0,Zimbabwe,2020,10,1
21,0,Zimbabwe,2020,9,30
4,1,Zimbabwe,2020,9,29
9,0,Zimbabwe,2020,9,28
16,0,Zimbabwe,2020,9,27
35,0,Zimbabwe,2020,9,26
27,0,Zimbabwe,2020,9,25
14,1,Zimbabwe,2020,9,24
5,0,Zimbabwe,2020,9,23
23,1,Zimbabwe,2020,9,22
11,0,Zimbabwe,2020,9,21
25,1,Zimbabwe,2020,9,20
14,0,Zimbabwe,2020,9,19
35,0,Zimbabwe,2020,9,18
22,0,Zimbabwe,2020,9,17
45,0,Zimbabwe,2020,9,16
5,0,Zimbabwe,2020,9,15
18,0,Zimbabwe,2020,9,14
29,0,Zimbabwe,2020,9,13
26,2,Zimbabwe,2020,9,12
24,0,Zimbabwe,2020,9,11
41,4,Zimbabwe,2020,9,10
90,8,Zimbabwe,2020,9,9
321,3,Zimbabwe,2020,9,8
140,1,Zimbabwe,2020,9,7
0,0,Zimbabwe,2020,9,6
159,0,Zimbabwe,2020,9,5
40,0,Zimbabwe,2020,9,4
79,3,Zimbabwe,2020,9,3
62,1,Zimbabwe,2020,9,2
85,6,Zimbabwe,2020,9,1
6,0,Zimbabwe,2020,8,31
18,1,Zimbabwe,2020,8,30
96,6,Zimbabwe,2020,8,29
41,10,Zimbabwe,2020,8,28
55,13,Zimbabwe,2020,8,27
126,11,Zimbabwe,2020,8,26
140,0,Zimbabwe,2020,8,25
37,2,Zimbabwe,2020,8,24
78,1,Zimbabwe,2020,8,23
70,1,Zimbabwe,2020,8,22
102,1,Zimbabwe,2020,8,21
265,9,Zimbabwe,2020,8,20
70,6,Zimbabwe,2020,8,19
47,3,Zimbabwe,2020,8,18
85,2,Zimbabwe,2020,8,17
104,2,Zimbabwe,2020,8,16
82,0,Zimbabwe,2020,8,15
97,6,Zimbabwe,2020,8,14
75,18,Zimbabwe,2020,8,13
70,0,Zimbabwe,2020,8,12
