location_name,est_infections_lower,est_infections_upper,year,month,day
Democratic Republic of the Congo,203.785718573316,427.110530308535,2020,9,19
Democratic Republic of the Congo,203.44068125483003,427.110489294589,2020,9,20
Democratic Republic of the Congo,203.440682285756,427.110448279896,2020,9,21
Democratic Republic of the Congo,203.44068331810902,427.110407266635,2020,9,22
Democratic Republic of the Congo,203.67603336367299,448.216078828742,2020,9,23
Democratic Republic of the Congo,204.962600025597,528.830284279212,2020,9,24
Democratic Republic of the Congo,206.849112512027,556.13524630256,2020,9,25
Democratic Republic of the Congo,208.045690613613,591.773376703263,2020,9,26
Democratic Republic of the Congo,208.252006275952,612.405676836893,2020,9,27
Democratic Republic of the Congo,209.151072334498,633.80791717358,2020,9,28
Democratic Republic of the Congo,219.00771597512104,654.884313835949,2020,9,29
Democratic Republic of the Congo,226.888297216594,678.49903642945,2020,9,30
Democratic Republic of the Congo,242.78229902796397,702.867436959595,2020,10,1
Democratic Republic of the Congo,282.969857583941,725.4522375445821,2020,10,2
Democratic Republic of the Congo,380.8584526203569,750.2299115490172,2020,10,3
Democratic Republic of the Congo,421.17046802938006,776.260888087377,2020,10,4
Democratic Republic of the Congo,441.070419439673,802.117112414166,2020,10,5
Democratic Republic of the Congo,459.833918591589,826.7563369676469,2020,10,6
Democratic Republic of the Congo,480.2864661857489,851.62034583427,2020,10,7
Democratic Republic of the Congo,501.83784228116303,874.6451506927609,2020,10,8
Democratic Republic of the Congo,520.8395775508139,894.826395884156,2020,10,9
Democratic Republic of the Congo,535.903832731023,913.0240834627301,2020,10,10
Democratic Republic of the Congo,550.039188567177,933.738385022431,2020,10,11
Democratic Republic of the Congo,565.226840348542,955.421714196355,2020,10,12
Democratic Republic of the Congo,580.1431686237461,976.6196732319887,2020,10,13
Democratic Republic of the Congo,597.937327679247,995.4648167759179,2020,10,14
Democratic Republic of the Congo,609.880449712277,1013.95950001702,2020,10,15
Democratic Republic of the Congo,623.939638133347,1037.03421315662,2020,10,16
Democratic Republic of the Congo,636.091333352774,1059.39808055237,2020,10,17
Democratic Republic of the Congo,646.2707658261061,1076.97338222936,2020,10,18
Democratic Republic of the Congo,656.378092205152,1095.8245095357304,2020,10,19
Democratic Republic of the Congo,668.082003770024,1116.06892241389,2020,10,20
Democratic Republic of the Congo,677.628944186867,1136.39526622631,2020,10,21
Democratic Republic of the Congo,685.489888063818,1156.4190195552999,2020,10,22
Democratic Republic of the Congo,692.178382812068,1177.37644612827,2020,10,23
Democratic Republic of the Congo,698.5319181852043,1196.87389949597,2020,10,24
Democratic Republic of the Congo,702.962715901435,1213.71161572039,2020,10,25
Democratic Republic of the Congo,708.6542354062201,1232.8592907521902,2020,10,26
Democratic Republic of the Congo,711.8679302442821,1253.66408867538,2020,10,27
Democratic Republic of the Congo,715.3000996150073,1269.4705943346,2020,10,28
Democratic Republic of the Congo,718.3538528148082,1285.99737181775,2020,10,29
Democratic Republic of the Congo,722.390802150965,1303.36476703174,2020,10,30
Democratic Republic of the Congo,724.923978220672,1320.0916925963,2020,10,31
Democratic Republic of the Congo,727.0782699678099,1337.91545057297,2020,11,1
Democratic Republic of the Congo,728.845296751335,1356.80477579125,2020,11,2
Democratic Republic of the Congo,729.570338811725,1375.41943891086,2020,11,3
Democratic Republic of the Congo,727.885870558024,1394.03989365697,2020,11,4
Democratic Republic of the Congo,728.966552414745,1412.8187601566299,2020,11,5
Democratic Republic of the Congo,730.0196768261501,1431.15552540385,2020,11,6
Democratic Republic of the Congo,729.6666904486722,1448.99053100832,2020,11,7
Democratic Republic of the Congo,729.385965322704,1465.80743828453,2020,11,8
Democratic Republic of the Congo,729.0311283819383,1481.50650485121,2020,11,9
Democratic Republic of the Congo,729.507431805879,1500.0040200222302,2020,11,10
Democratic Republic of the Congo,729.258362606913,1518.34995780811,2020,11,11
Democratic Republic of the Congo,728.71584331654,1535.2151830893,2020,11,12
Democratic Republic of the Congo,727.3699713747951,1548.60872213952,2020,11,13
Democratic Republic of the Congo,725.773633906245,1561.34003761337,2020,11,14
Democratic Republic of the Congo,724.1554960206149,1573.7093016568601,2020,11,15
Democratic Republic of the Congo,723.52500462681,1586.4312657564901,2020,11,16
Democratic Republic of the Congo,722.976805184409,1601.15332541429,2020,11,17
Democratic Republic of the Congo,722.528067389131,1613.2751362886304,2020,11,18
Democratic Republic of the Congo,722.202053804696,1625.3540035579401,2020,11,19
Democratic Republic of the Congo,721.664192017913,1640.7894085496698,2020,11,20
Democratic Republic of the Congo,720.903080871702,1657.25023344159,2020,11,21
Democratic Republic of the Congo,720.0878847360609,1673.3937253504998,2020,11,22
Democratic Republic of the Congo,719.217708733678,1689.2074292451098,2020,11,23
Democratic Republic of the Congo,718.2927863925688,1704.68414291739,2020,11,24
Democratic Republic of the Congo,717.4786400441078,1720.0897153168899,2020,11,25
Democratic Republic of the Congo,716.8004698440428,1730.50423750431,2020,11,26
Democratic Republic of the Congo,716.022062152624,1742.62505361401,2020,11,27
Democratic Republic of the Congo,715.0495989866548,1754.75260630548,2020,11,28
Democratic Republic of the Congo,714.0399358961729,1768.60787677765,2020,11,29
Democratic Republic of the Congo,712.9918101601303,1782.18829038925,2020,11,30
Democratic Republic of the Congo,711.941828127951,1794.2798063579999,2020,12,1
Democratic Republic of the Congo,710.942784243077,1802.18494284675,2020,12,2
Democratic Republic of the Congo,710.321005895361,1815.1190103828892,2020,12,3
Democratic Republic of the Congo,709.198881225661,1829.5409518584602,2020,12,4
Democratic Republic of the Congo,707.9858904529359,1843.3385809388,2020,12,5
Democratic Republic of the Congo,706.677082688361,1856.8111394405398,2020,12,6
Democratic Republic of the Congo,705.405224304647,1869.9456031072891,2020,12,7
Democratic Republic of the Congo,704.123334022984,1882.73483441659,2020,12,8
Democratic Republic of the Congo,702.947687161714,1894.56877646818,2020,12,9
Democratic Republic of the Congo,701.898197985068,1906.27572639845,2020,12,10
Democratic Republic of the Congo,700.7552764557297,1917.4900976557294,2020,12,11
Democratic Republic of the Congo,699.506032850594,1928.1627513460892,2020,12,12
Democratic Republic of the Congo,698.256721350551,1931.6529984258104,2020,12,13
Democratic Republic of the Congo,697.0046086527409,1936.3174952011602,2020,12,14
Democratic Republic of the Congo,695.748248339817,1944.75511480235,2020,12,15
Democratic Republic of the Congo,694.59249592349,1954.3837750948999,2020,12,16
Democratic Republic of the Congo,693.556500229984,1963.98586090506,2020,12,17
Democratic Republic of the Congo,692.446588017047,1973.11624368504,2020,12,18
Democratic Republic of the Congo,691.249445807934,1979.85162681565,2020,12,19
Democratic Republic of the Congo,690.057668145746,1983.33661749885,2020,12,20
Democratic Republic of the Congo,688.8686830904338,1986.55893240683,2020,12,21
Democratic Republic of the Congo,687.6810073576871,1989.7570676852,2020,12,22
Democratic Republic of the Congo,686.585951745138,1995.5173997413297,2020,12,23
Democratic Republic of the Congo,685.6019933030001,2001.31258106567,2020,12,24
Democratic Republic of the Congo,684.56191665642,2009.58634547554,2020,12,25
Democratic Republic of the Congo,683.452074358985,2017.3707164596801,2020,12,26
Democratic Republic of the Congo,682.351269513741,2024.9564876075892,2020,12,27
Democratic Republic of the Congo,681.257175756246,2032.3393590524802,2020,12,28
Democratic Republic of the Congo,680.168352657929,2039.5165130384305,2020,12,29
Democratic Republic of the Congo,679.162452749535,2046.7458536911802,2020,12,30
Democratic Republic of the Congo,678.257361733169,2051.8203254357,2020,12,31
Democratic Republic of the Congo,677.3127802599221,2055.18845383264,2021,1,1
Democratic Republic of the Congo,673.6282738801091,2049.91713206991,2021,1,2
Democratic Republic of the Congo,669.4051699791111,2043.7532443854998,2021,1,3
Democratic Republic of the Congo,667.933684995771,2044.6542691838001,2021,1,4
Democratic Republic of the Congo,666.3540051136171,2044.8413633406199,2021,1,5
Democratic Republic of the Congo,664.7154310088613,2044.5351140484202,2021,1,6
Democratic Republic of the Congo,663.052708203346,2043.8731589011802,2021,1,7
Democratic Republic of the Congo,661.505981818586,2043.16004200615,2021,1,8
Democratic Republic of the Congo,660.116876350344,2042.6337674278693,2021,1,9
Democratic Republic of the Congo,658.7062345348301,2041.8371238764398,2021,1,10
Democratic Republic of the Congo,657.252612375841,2040.7186103817105,2021,1,11
Democratic Republic of the Congo,655.835168120638,2039.4967985101105,2021,1,12
Democratic Republic of the Congo,654.4432785462581,2038.1329174582002,2021,1,13
Democratic Republic of the Congo,653.072917820514,2036.61658767909,2021,1,14
Democratic Republic of the Congo,651.8141801081599,2035.353337256989,2021,1,15
Democratic Republic of the Congo,650.940405413508,2036.38117140308,2021,1,16
Democratic Republic of the Congo,650.0850677628073,2037.3483466845,2021,1,17
Democratic Republic of the Congo,648.985268816352,2037.1313568603305,2021,1,18
Democratic Republic of the Congo,647.92825570479,2036.919546891,2021,1,19
Democratic Republic of the Congo,646.906994187087,2036.6792194049801,2021,1,20
Democratic Republic of the Congo,645.916511638835,2035.2567324869296,2021,1,21
Democratic Republic of the Congo,644.997261560336,2032.6028866801398,2021,1,22
Democratic Republic of the Congo,644.173709692061,2030.1164828423398,2021,1,23
Democratic Republic of the Congo,643.3833131838591,2027.6441419992602,2021,1,24
Democratic Republic of the Congo,642.601760518551,2025.12604617774,2021,1,25
Democratic Republic of the Congo,641.8487167570739,2023.8195972144601,2021,1,26
Democratic Republic of the Congo,641.122972585633,2022.59025906548,2021,1,27
Democratic Republic of the Congo,640.423205662146,2021.3431072000399,2021,1,28
Democratic Republic of the Congo,639.76778784059,2020.12494017817,2021,1,29
Democratic Republic of the Congo,639.182301613316,2019.01030329205,2021,1,30
Democratic Republic of the Congo,638.6539966154843,2017.98701020367,2021,1,31
Democratic Republic of the Congo,638.15816292204,2016.9968075834201,2021,2,1
Equatorial Guinea,,,2020,2,4
Equatorial Guinea,0.0,0.0,2020,2,5
Equatorial Guinea,0.0,0.0,2020,2,6
Equatorial Guinea,0.0,0.0,2020,2,7
Equatorial Guinea,0.0,0.0,2020,2,8
Equatorial Guinea,0.0,0.0,2020,2,9
Equatorial Guinea,0.0,0.0,2020,2,10
Equatorial Guinea,0.0,0.0,2020,2,11
Equatorial Guinea,0.0,0.0,2020,2,12
Equatorial Guinea,0.0,0.0,2020,2,13
Equatorial Guinea,0.0,0.0,2020,2,14
Equatorial Guinea,0.0,0.0,2020,2,15
Equatorial Guinea,0.0,0.0,2020,2,16
Equatorial Guinea,0.0,0.0,2020,2,17
Equatorial Guinea,0.0,0.0,2020,2,18
Equatorial Guinea,0.0,0.0,2020,2,19
Equatorial Guinea,0.0,0.0,2020,2,20
Equatorial Guinea,0.0,0.0,2020,2,21
Equatorial Guinea,0.0,0.0,2020,2,22
Equatorial Guinea,0.0,0.0,2020,2,23
Equatorial Guinea,0.0,2.4324701345119597,2020,2,24
Equatorial Guinea,0.0,2.83837093614102,2020,2,25
Equatorial Guinea,0.0,3.31053953440873,2020,2,26
Equatorial Guinea,0.0,3.7980500878587504,2020,2,27
Equatorial Guinea,1.5678184168478502,4.337102830610879,2020,2,28
Equatorial Guinea,1.9068337670010305,4.92865528278846,2020,2,29
Equatorial Guinea,2.26613341426402,5.52117838161415,2020,3,1
Equatorial Guinea,2.55975916608564,6.08499003196859,2020,3,2
Equatorial Guinea,2.8492019362242598,6.613400214938308,2020,3,3
Equatorial Guinea,3.1468786745860298,7.13968854512206,2020,3,4
Equatorial Guinea,3.42924035842584,7.5501622340970895,2020,3,5
Equatorial Guinea,3.6319475009595097,7.83211543185173,2020,3,6
Equatorial Guinea,3.7908441040138197,8.09386098149228,2020,3,7
Equatorial Guinea,3.93492954298882,8.301439391260299,2020,3,8
Equatorial Guinea,4.04537493656581,8.45467240889266,2020,3,9
Equatorial Guinea,4.12481252086109,8.30969685809196,2020,3,10
Equatorial Guinea,4.16752781969939,8.21017760722065,2020,3,11
Equatorial Guinea,4.1043366001362,8.02054879677256,2020,3,12
Equatorial Guinea,4.06244797049399,7.88677716790228,2020,3,13
Equatorial Guinea,3.97301837736229,7.69933215816626,2020,3,14
Equatorial Guinea,3.85926006799367,7.52673417751839,2020,3,15
Equatorial Guinea,3.7706987629029602,7.358434890303379,2020,3,16
Equatorial Guinea,3.70245642990886,7.26698959568586,2020,3,17
Equatorial Guinea,3.6531631898640096,7.30937872622529,2020,3,18
Equatorial Guinea,3.68515470437424,7.48813164605662,2020,3,19
Equatorial Guinea,3.7375190846693513,7.979854088302899,2020,3,20
Equatorial Guinea,3.828398653554,8.55539983843234,2020,3,21
Equatorial Guinea,4.01003775103076,9.3117894896537,2020,3,22
Equatorial Guinea,4.19515548471027,10.419472828379,2020,3,23
Equatorial Guinea,4.46308575881668,11.7355608330641,2020,3,24
Equatorial Guinea,4.81922738551862,13.438301957063198,2020,3,25
Equatorial Guinea,5.35907101840695,15.627382903320699,2020,3,26
Equatorial Guinea,6.08889558952489,18.3823530995496,2020,3,27
Equatorial Guinea,7.022001370599768,21.946268840515998,2020,3,28
Equatorial Guinea,8.26740059601517,25.9125241644493,2020,3,29
Equatorial Guinea,9.92417886190486,31.5532342743639,2020,3,30
Equatorial Guinea,11.805569266875699,38.26469334916771,2020,3,31
Equatorial Guinea,14.5131903081509,46.405565205600396,2020,4,1
Equatorial Guinea,17.7283406268429,56.6476154618892,2020,4,2
Equatorial Guinea,21.905644881269197,68.8342627894139,2020,4,3
Equatorial Guinea,26.672818218964,82.83640532908309,2020,4,4
Equatorial Guinea,32.6083248801254,98.01913711991459,2020,4,5
Equatorial Guinea,39.8539291190102,115.02629869924401,2020,4,6
Equatorial Guinea,48.3757079052299,134.769825772332,2020,4,7
Equatorial Guinea,57.678334172472404,155.87413346238,2020,4,8
