location_name,est_infections_lower,est_infections_upper,year,month,day
Global,,,2020,2,4
Global,16852.0171062008,23983.0320070142,2020,2,5
Global,16175.5880102717,22969.369720516093,2020,2,6
Global,15581.308907954399,22324.2991334781,2020,2,7
Global,15052.6832370597,21574.542487001203,2020,2,8
Global,14683.5882195425,20798.8602799797,2020,2,9
Global,14484.657427653501,20151.5524279484,2020,2,10
Global,14555.647364742299,19599.6544045024,2020,2,11
Global,14629.160811207099,19254.1439769786,2020,2,12
Global,14856.2345604779,19522.8600255166,2020,2,13
Global,15380.447359689299,20678.49992269,2020,2,14
Global,15914.5167746035,22741.569567349703,2020,2,15
Global,16600.0876638421,25438.2383997106,2020,2,16
Global,17755.209136441103,28919.8302809612,2020,2,17
Global,19307.588864889,33402.5512786027,2020,2,18
Global,21491.4222320322,38947.7112644569,2020,2,19
Global,24286.3844495813,45628.3861773746,2020,2,20
Global,27943.6483006794,53231.510670392,2020,2,21
Global,32447.7095680843,62226.2470865055,2020,2,22
Global,38133.3157072092,73184.8928011075,2020,2,23
Global,44860.49826273519,84639.71664736401,2020,2,24
Global,52579.2199604497,97955.6479607382,2020,2,25
Global,61646.5971953064,113552.356194285,2020,2,26
Global,72881.7957142995,131251.633654119,2020,2,27
Global,84739.2393705912,151355.090456237,2020,2,28
Global,98279.75382201368,174839.398905345,2020,2,29
Global,114013.972737416,201258.932536744,2020,3,1
Global,131996.579191753,231170.76687202105,2020,3,2
Global,152510.035582205,264530.699039306,2020,3,3
Global,176081.80687328,301663.110420517,2020,3,4
Global,202440.78163028305,342696.39999667,2020,3,5
Global,232523.55790711692,388205.376630163,2020,3,6
Global,266166.433952963,436230.84018824704,2020,3,7
Global,303480.646389097,485672.405153136,2020,3,8
Global,343585.989717377,537575.415517849,2020,3,9
Global,388337.064132339,591667.4102608879,2020,3,10
Global,435231.59464480897,644074.8104382979,2020,3,11
Global,483678.3233372979,695396.8533215739,2020,3,12
Global,533793.319607983,744952.136556059,2020,3,13
Global,584534.254273038,791390.330808305,2020,3,14
Global,635316.957200067,830421.7407649859,2020,3,15
Global,682989.068770818,865958.4209033509,2020,3,16
Global,728851.89061609,896035.312355208,2020,3,17
Global,771051.104249337,921067.77791326,2020,3,18
Global,809455.185981628,941194.413192221,2020,3,19
Global,842615.580004293,954957.056012583,2020,3,20
Global,870368.143862181,965458.711078629,2020,3,21
Global,892951.6741816041,972005.821958983,2020,3,22
Global,910202.7860109828,978026.5651414279,2020,3,23
Global,920228.747531055,980882.870682115,2020,3,24
Global,926536.92306709,980614.9253871859,2020,3,25
Global,928648.948912388,979083.907959274,2020,3,26
Global,926383.150404803,974905.2462334579,2020,3,27
Global,921096.7550802559,970236.56618198,2020,3,28
Global,914477.518119844,966236.370857811,2020,3,29
Global,907892.487858495,959726.676487532,2020,3,30
Global,901395.01241833,952604.039232953,2020,3,31
Global,895449.96945066,945251.762024398,2020,4,1
Global,889540.7399109609,938223.789395275,2020,4,2
Global,885179.976037462,932057.0230156459,2020,4,3
Global,881620.179687362,925383.7445072359,2020,4,4
Global,877741.3153132609,920766.40239211,2020,4,5
Global,874942.170997965,916163.0308465008,2020,4,6
Global,873442.07003662,912029.0606634972,2020,4,7
Global,871709.19428693,909892.9094352792,2020,4,8
Global,871401.125632515,909334.4320764308,2020,4,9
Global,872575.276450155,911216.177317885,2020,4,10
Global,873145.137695315,914625.015159725,2020,4,11
Global,874105.252754154,919025.4882980392,2020,4,12
Global,876131.055215786,923287.227689878,2020,4,13
Global,879094.7209872841,927418.78356784,2020,4,14
Global,882135.815471582,932429.984858552,2020,4,15
Global,885925.716529345,937750.1004115159,2020,4,16
Global,890173.8036421998,943035.134542216,2020,4,17
Global,895084.767130765,948630.387479382,2020,4,18
Global,900609.170527463,953306.065900415,2020,4,19
Global,906796.521439253,958433.440569799,2020,4,20
Global,912927.337936794,963740.808909883,2020,4,21
Global,918448.54393369,968843.878601148,2020,4,22
Global,923631.94511434,974497.1423565692,2020,4,23
Global,928619.657723982,980000.0494104,2020,4,24
Global,933375.443194282,986506.5770466728,2020,4,25
Global,938238.8571771192,993562.359351909,2020,4,26
Global,943653.632328455,1000159.6885709999,2020,4,27
Global,949153.531107,1007411.92334805,2020,4,28
Global,955714.517265232,1015244.23922859,2020,4,29
Global,962010.51141995,1024288.99784895,2020,4,30
Global,968281.1858283641,1035048.34889186,2020,5,1
Global,975217.3648976692,1046215.48454773,2020,5,2
Global,982977.469135482,1058941.05665487,2020,5,3
Global,991864.8528113208,1071403.60305118,2020,5,4
Global,1002141.32087567,1086133.58417863,2020,5,5
Global,1012520.51018158,1099857.11778123,2020,5,6
Global,1024030.93863827,1116905.52051629,2020,5,7
Global,1037328.8129408001,1132993.15918658,2020,5,8
Global,1052148.46904199,1151537.70644929,2020,5,9
