guariti,deceduti,pos_att,rsa,year,month,day
6061,480,685,25,2020,10,15
6115,481,741,33,2020,10,16
6147,482,790,40,2020,10,17
6165,482,820,40,2020,10,18
6181,483,882,44,2020,10,19
6380,483,777,42,2020,10,20
6438,485,865,31,2020,10,21
