location_name,restriction_type,closure_start,closure_end
Sicilia,Travel,3/22/2020,5/4/2020
Sicilia,Lockdown,3/22/2020,5/4/2020
Sicilia,Institutional,3/22/2020,5/4/2020
Sicilia,Gathering,3/22/2020,5/4/2020
Sicilia,Essential Business,3/22/2020,5/4/2020
Sicilia,Non-Essential Business,3/22/2020,5/4/2020
